Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
3.793,1.2,1.0969,0.7699,0.0006,0.001,0.0098,0.3293,0.0014,0.0467,1.431,0.972,0.184,6.8919,0.5699,0.2202,0.1839,7.269
3.793,1.25,1.1446,0.6949,0.0007,0.006,0.0481,0.2295,0.0008,0.0364,0.103,0.412,0.488,5.9983,0.1836,0.6412,0.842,6.277
3.793,1.3,1.0624,0.6305,0.0004,0.0019,0.0775,0.1745,0.0013,0.0266,0.104,0.341,0.302,5.4742,0.0129,0.1281,0.2217,5.6404
3.793,1.35,0.9481,0.5589,0.0002,0.0067,0.0941,0.1171,0.0005,0.0178,0.207,0.342,0.371,5.4418,0.1689,0.4475,1.264,5.7421
3.793,1.4,0.7616,0.55,0.0001,0.007,0.1091,0.1071,0.0008,0.0104,0.104,0.253,0.353,5.4925,0.3649,0.3107,0.48,5.6332
3.793,1.45,0.4854,0.5675,0.0003,0.0059,0.1593,0.1019,0.0006,0.0069,0.521,0.575,0.235,4.6532,0.2547,0.1229,0.4087,4.8115
3.793,1.5,0.2308,0.5671,0.0005,0.0068,0.2321,0.1464,0.0006,0.0024,0.699,0.33,0.354,3.4579,0.1654,0.281,1.0481,3.7862
3.793,1.55,0.1589,0.5849,0.0012,0.0086,0.3386,0.0473,0.0004,0.0007,1.247,1.129,0.423,3.2537,0.1321,0.1164,0.6911,3.8194
3.793,1.6,0.2496,0.583,0.0013,0.021,0.4182,0.1076,0.0006,0.0031,0.514,0.087,0.265,3.74,0.069,0.2079,0.6632,3.9251
3.793,1.65,0.2191,0.5336,0.0009,0.0178,0.3922,0.0247,0.0007,0.0025,0.103,0.942,0.312,3.7592,0.0526,0.1741,0.4537,3.9816
3.793,1.7,0.2226,0.517,0.0003,0.0083,0.4684,0.0697,0.0007,0.0006,0.301,0.171,0.344,3.3878,0.0982,0.1984,0.1815,3.5126
3.793,1.75,0.2225,0.5473,0.0001,0.0107,0.5433,0.0297,0.0005,0.0021,0.413,0.266,0.312,3.2318,0.164,0.1311,0.4373,3.4152
3.793,1.8,0.2703,0.5842,0.0006,0.0112,0.5359,0.0207,0.0002,0.0012,0.103,0.0,0.421,3.5577,0.1733,0.1286,0.1467,3.6899
3.793,1.85,0.3036,0.5842,0.0009,0.0171,0.5814,0.0877,0.0002,0.0053,0.0,0.09,0.414,3.7954,0.0231,0.0414,0.012,3.92
3.793,1.9,0.2357,0.5332,0.0009,0.0174,0.7212,0.112,0.0007,0.0032,0.305,0.0,0.376,3.6455,0.1886,0.0259,0.1279,3.8013
3.793,1.95,0.0653,0.5316,0.0009,0.0327,0.7409,0.0736,0.001,0.0013,0.102,0.18,0.314,3.6177,0.2147,0.0702,0.0738,3.7587
3.793,2.0,0.2805,0.5564,0.0007,0.0225,0.8009,0.093,0.0008,0.0035,0.102,0.181,0.366,3.1818,0.0434,0.0566,0.004,3.3682
