Q2,W,BCC_iter3_reversed,RC_iter3_reversed,ET,Combination
6.06,2.5,1.022,0.935,0.968,1.0130079429031886
7.085,1.15,1.075,0.978,0.944,0.8978931849526798
7.085,1.2,1.033,0.82,0.955,1.127428989681959
7.085,1.25,1.04,0.813,0.957,1.1318478569401078
7.085,1.3,1.047,0.826,0.956,1.105429787863861
7.085,1.35,1.047,0.822,0.964,1.120104481115085
7.085,1.4,1.05,0.812,0.965,1.1318320431620923
7.085,1.45,1.044,0.798,0.967,1.1607082841202623
7.085,1.5,1.02,0.799,0.969,1.1889862327909886
7.085,1.55,1.042,0.829,0.965,1.1171334702448896
7.085,1.6,1.04,0.842,0.966,1.103142700529874
7.085,1.65,1.042,0.835,0.969,1.1137034951210822
7.085,1.7,1.017,0.825,0.971,1.157295670570007
7.085,1.75,1.035,0.85,0.97,1.1025859619210003
7.085,1.8,1.037,0.867,0.971,1.0799940828336554
7.085,1.85,1.032,0.866,0.97,1.0853608321248902
7.085,1.9,1.03,0.87,0.966,1.0780046869768998
7.085,1.95,1.029,0.874,0.97,1.0785615324913882
7.085,2.0,1.029,0.875,0.967,1.0739969457170624
7.085,2.05,1.029,0.877,0.968,1.0726558093509435
7.085,2.1,1.028,0.882,0.968,1.0676125184185217
7.085,2.15,1.028,0.888,0.968,1.0603989203210993
7.085,2.2,1.028,0.896,0.968,1.0509310728182324
7.085,2.25,1.027,0.903,0.969,1.0448779951282159
7.085,2.3,1.025,0.907,0.969,1.0422997283997097
7.085,2.35,1.025,0.912,0.968,1.035515618314078
7.085,2.4,1.021,0.918,0.966,1.0306440565125823
7.085,2.45,1.024,0.925,0.968,1.0219594594594594
7.085,2.5,1.024,0.931,0.968,1.0153732545649838
8.29,1.15,1.08,1.007,0.944,0.8679980874618413
8.29,1.2,1.036,0.834,0.955,1.1052933714804218
8.29,1.25,1.046,0.82,0.957,1.1157487291890127
8.29,1.3,1.046,0.829,0.956,1.1024824306277923
8.29,1.35,1.048,0.824,0.964,1.116319573111984
8.29,1.4,1.05,0.814,0.965,1.129051129051129
8.29,1.45,1.049,0.8,0.967,1.1522878932316492
8.29,1.5,1.025,0.801,0.969,1.1802320270393716
8.29,1.55,1.044,0.83,0.965,1.1136500023080829
8.29,1.6,1.044,0.843,0.966,1.0976125223272113
8.29,1.65,1.047,0.835,0.969,1.1083849492991096
8.29,1.7,1.02,0.826,0.971,1.1524948962635901
8.29,1.75,1.036,0.85,0.97,1.1015216897569837
8.29,1.8,1.038,0.867,0.971,1.0789536261064552
8.29,1.85,1.037,0.867,0.97,1.0788818335207473
8.29,1.9,1.033,0.87,0.966,1.074873986046667
8.29,1.95,1.033,0.876,0.97,1.0719321743204835
8.29,2.0,1.034,0.877,0.967,1.0663661285947124
8.29,2.05,1.035,0.879,0.968,1.0640110358169417
8.29,2.1,1.03,0.883,0.968,1.0643327579192734
8.29,2.15,1.031,0.89,0.968,1.0549373903377326
8.29,2.2,1.032,0.898,0.968,1.0445261649488096
8.29,2.25,1.031,0.905,0.969,1.0385239884036848
8.29,2.3,1.028,0.91,0.969,1.0358318724077478
8.29,2.35,1.027,0.915,0.968,1.030110513405803
8.29,2.4,1.028,0.922,0.966,1.0191851583007672
8.29,2.45,1.027,0.928,0.968,1.015680085955075
8.29,2.5,1.027,0.935,0.968,1.0080760639211868
9.67,1.15,1.074,1.041,0.944,0.8443392598078412
9.67,1.2,1.033,0.849,0.955,1.0889184588212086
9.67,1.25,1.042,0.829,0.957,1.1078722601288697
9.67,1.3,1.047,0.835,0.956,1.093514975779101
9.67,1.35,1.045,0.829,0.964,1.1127720606483862
9.67,1.4,1.048,0.818,0.965,1.1256742380410234
9.67,1.45,1.05,0.804,0.967,1.1454631603885335
9.67,1.5,1.025,0.804,0.969,1.1758281761922098
9.67,1.55,1.044,0.832,0.965,1.1109729590333037
9.67,1.6,1.043,0.845,0.966,1.0960644930701722
9.67,1.65,1.046,0.838,0.969,1.10547283206396
9.67,1.7,1.02,0.83,0.971,1.1469407039924402
9.67,1.75,1.037,0.853,0.97,1.096589155524605
9.67,1.8,1.04,0.87,0.971,1.0731653404067196
9.67,1.85,1.035,0.871,0.97,1.0760023738609072
9.67,1.9,1.035,0.875,0.966,1.0666666666666667
9.67,1.95,1.034,0.88,0.97,1.066027782662212
9.67,2.0,1.032,0.882,0.967,1.0623758547346587
9.67,2.05,1.033,0.883,0.968,1.061241762494532
9.67,2.1,1.033,0.888,0.968,1.055266302120126
9.67,2.15,1.031,0.895,0.968,1.0490438853637787
9.67,2.2,1.032,0.903,0.968,1.038742520624619
9.67,2.25,1.032,0.912,0.969,1.0295542635658914
9.67,2.3,1.029,0.917,0.969,1.02692580381584
9.67,2.35,1.03,0.923,0.968,1.0182078279986115
9.67,2.4,1.03,0.929,0.966,1.009541526017118
9.67,2.45,1.022,0.937,0.968,1.0108457060986993
9.67,2.5,0.955,0.944,0.968,1.0737421244121041
